SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,,,,,,,,,,,,,,,,,
-2.25,,,,,,,,,,,,,,,,,,115509.81141105344,,,,,,
-2.0,,,1291283.22431429,,,9495.835302572254,8509.436147865004,,,,,,11032.309310332213,,,52642.06280116619,7579.038079527785,5069302.110177354,,,898.6558741423287,225147.833999472,125662.19063414275,
-1.75,,908478.2062213045,1059901.5884692087,4576.939776894727,,4067.083504114671,2958.7531871227475,,,,,,5102221.8048034925,,,171312.80301400507,4394020.974288686,784169.8639781391,196568.19713448253,11458.714522004564,25315.15249695142,589537.1335815422,585172.9199533102,209820.77883368146
-1.5,,2439269.2963756267,1331854.1309664552,15015.782552332927,,5873.418296421107,1615.7361490515286,414488.8882740645,393990.77838772314,,,47688.22204494128,1997307.9124295628,,61674.25613829853,96095.53209282344,917220.3683344517,390539.449573989,534892.9706195842,14091.883144613093,51311.525273489315,451796.31402652897,2565251.3612509747,411342.9062549821
-1.25,,975003.6780648339,1327765.761786825,26889.70157639328,,2052.7007272042356,3668.6404485167823,405669.44961480726,595658.4322838591,,,579244.8962567773,1408656.699378577,6720.172889559253,263576.19155820686,86943.80419414071,543423.2017699769,509292.5833117068,300926.813400203,197362.59184830711,83948.1159194585,1082770.1645442788,1413957.7139670672,379442.3099672706
-1.0,2511.678707738495,578148.27460963,1093361.5185731584,47217.61887526902,,7924.555702239675,3710.0703048531905,329683.76168499864,444220.738913859,,,1647766.3813815452,1218918.0602014046,150320.23596417153,282648.2078194732,71769.7446775221,363505.61477214936,636050.0170483124,269859.3829517353,444548.4118613993,73805.68398156,1359564.2713592602,934117.4252622845,440335.0856985091
-0.75,5150.200171920199,472573.9969956931,1527464.8476090105,54059.18434436989,,11993.819329623508,5606.262622611459,341342.14269069023,392337.45702828094,,,898845.7547938162,1191784.824829502,473492.85101251735,261421.5232605246,63349.177830454544,307048.40274100285,730399.8842015602,247571.8165685949,430026.1562979388,201235.1258236707,976400.6146876663,759709.9882940771,397429.18082892965
